Rule_Number,Job_Name,Rule_Execution,Program_Type,Module_Name,Sub_Module,Input_File,Input_File_Layout,Input_File_Length,Output_File,Output_File_Layout,Business_Rule_Category,Linkage_Columns,Detailed_Business_Rule,SQL_Decision_Control_Statements,SQL_Function,Code_Reference,Bounded_Context,DB2_Table_Name,Review_Comments
BR-CBADMCDJ-076,CBADMCDJ,76,COBOL,COSGN00C,READ-USER-SEC-FILE - ELSE not admin,N/A,N/A,N/A,COMMAREA,CDEMO-FROM-TRANID(PIC X(4))|CDEMO-FROM-PROGRAM(PIC X(8))|CDEMO-TO-TRANID(PIC X(4))|CDEMO-TO-PROGRAM(PIC X(8))|CDEMO-USER-ID(PIC X(8))|CDEMO-USER-TYPE(PIC X(1))|CDEMO-PGM-CONTEXT(PIC 9(1))|CDEMO-CUST-ID(PIC 9(9))|CDEMO-CUST-FNAME(PIC X(25))|CDEMO-CUST-MNAME(PIC X(25))|CDEMO-CUST-LNAME(PIC X(25))|CDEMO-ACCT-ID(PIC 9(11))|CDEMO-ACCT-STATUS(PIC X(1))|CDEMO-CARD-NUM(PIC 9(16))|CDEMO-LAST-MAP(PIC X(7))|CDEMO-LAST-MAPSET(PIC X(7)),Data-Validation,CDEMO-USER-TYPE,"Otherwise the user has type code U (regular user) and control is transferred via XCTL to the user main-menu program COMEN01C, passing the populated commarea. The current pseudo-conversation ends and a fresh one begins under COMEN01C.",ELSE\n     EXEC CICS XCTL\n       PROGRAM ('COMEN01C')\n       COMMAREA(CARDDEMO-COMMAREA)\n     END-EXEC\nEND-IF,N/A,235-239,User Authentication,N/A,Multi-program CALL chain via XCTL - identify as microservice or Step Function boundary
BR-CBADMCDJ-077,CBADMCDJ,77,COBOL,COSGN00C,READ-USER-SEC-FILE - ELSE password mismatch,N/A,N/A,N/A,COSGN00,N/A (BMS symbolic map),Error-Handling,"SEC-USR-PWD,WS-USER-PWD","When the user record was found but the entered password does not match, the message ""Wrong Password. Try again ..."" is displayed on the screen, the cursor is positioned on the Password field, and the signon screen is re-sent.",ELSE\n    MOVE 'Wrong Password. Try again ...' TO\n                                       WS-MESSAGE\n    MOVE -1       TO PASSWDL OF COSGN0AI\n    PERFORM SEND-SIGNON-SCREEN\nEND-IF,N/A,241-246,User Authentication,N/A,None
BR-CBADMCDJ-078,CBADMCDJ,78,COBOL,COSGN00C,READ-USER-SEC-FILE - WHEN 13 (NOTFND),N/A,N/A,N/A,COSGN00,N/A (BMS symbolic map),Error-Handling,WS-USER-ID,"When the User Security read returns response code 13 (NOTFND), the entered user identifier does not exist on file. The error flag is set, the message ""User not found. Try again ..."" is displayed, the cursor is positioned on the User ID field, and the signon screen is re-sent.",WHEN 13\n    MOVE 'Y'      TO WS-ERR-FLG\n    MOVE 'User not found. Try again ...' TO WS-MESSAGE\n    MOVE -1       TO USERIDL OF COSGN0AI\n    PERFORM SEND-SIGNON-SCREEN,N/A,247-251,User Authentication,N/A,None
BR-CBADMCDJ-079,CBADMCDJ,79,COBOL,COSGN00C,READ-USER-SEC-FILE - WHEN OTHER (file error),N/A,N/A,N/A,COSGN00,N/A (BMS symbolic map),Error-Handling,WS-RESP-CD,"Any other CICS response code from the User Security read (e.g., I/O error, file not open, security violation) is trapped. The error flag is set, the message ""Unable to verify the User ..."" is displayed, the cursor is positioned on the User ID field, and the signon screen is re-sent. The actual response code is not surfaced to the user nor logged for operations.",WHEN OTHER\n    MOVE 'Y'      TO WS-ERR-FLG\n    MOVE 'Unable to verify the User ...' TO WS-MESSAGE\n    MOVE -1       TO USERIDL OF COSGN0AI\n    PERFORM SEND-SIGNON-SCREEN,N/A,252-256,User Authentication,N/A,Generic file error handler discards diagnostic detail (RESP/RESP2 not surfaced) - replace with structured logging that emits CloudWatch metrics and full error context in cloud target
BR-CBADMCDJ-080,CBADMCDJ,80,COBOL,COACTVWC,PROGRAM-ID,N/A,N/A,N/A,N/A,N/A,Initialization,DFHCOMMAREA,"The COACTVWC COBOL program accepts and processes the Account View request under transaction CAVW. Given an Account ID it looks up the Card cross-reference (CXACAIX) by account, then reads the Account master (ACCTDAT) and Customer master (CUSTDAT) and renders the consolidated detail on the COACTVW BMS screen.",IDENTIFICATION DIVISION.\nPROGRAM-ID.\n    COACTVWC.\nDATE-WRITTEN.\n    May 2022.,N/A,21-27,Account Management — View,N/A,None
BR-CBADMCDJ-081,CBADMCDJ,81,COBOL,COACTVWC,0000-MAIN - HANDLE ABEND,N/A,N/A,N/A,N/A,N/A,Error-Handling,N/A,"Establishes a CICS abend trap with label ABEND-ROUTINE so that any unhandled abend (e.g., AEY9 program-not-found, ASRA storage error, AKCT timeout) is intercepted by this program rather than propagating to the CICS region's default handler. The trap allows the program to send a friendly error screen and produce a structured diagnostic before terminating. This is a defensive pattern applied at every program entry point.",EXEC CICS HANDLE ABEND\n          LABEL(ABEND-ROUTINE)\nEND-EXEC,N/A,264-266,Account Management — View,N/A,HANDLE ABEND with local label - replace with structured exception handling and observability emit (CloudWatch metric/log) in target architecture
BR-CBADMCDJ-082,CBADMCDJ,82,COBOL,COACTVWC,0000-MAIN - INITIALIZE areas,N/A,N/A,N/A,N/A,N/A,Initialization,N/A,"Initializes the working-storage scratchpad (CC-WORK-AREA, WS-MISC-STORAGE, WS-COMMAREA), stores the program's transaction-id and program-id for downstream display, and clears any leftover state from a prior session. Initialization is performed on every entry to ensure no stale data leaks across pseudo-conversational iterations. Memory is reset to known defaults before any business logic executes.",INITIALIZE CC-WORK-AREA\n           WS-MISC-STORAGE\n           WS-COMMAREA\nMOVE LIT-THISTRANID       TO WS-TRANID\nSET WS-RETURN-MSG-OFF  TO TRUE,N/A,268-278,Account Management — View,N/A,None
BR-CBADMCDJ-083,CBADMCDJ,83,COBOL,COACTVWC,0000-MAIN - IF EIBCALEN=0 OR menu-fresh-entry,COMMAREA,CDEMO-FROM-TRANID(PIC X(4))|CDEMO-FROM-PROGRAM(PIC X(8))|CDEMO-TO-TRANID(PIC X(4))|CDEMO-TO-PROGRAM(PIC X(8))|CDEMO-USER-ID(PIC X(8))|CDEMO-USER-TYPE(PIC X(1))|CDEMO-PGM-CONTEXT(PIC 9(1))|CDEMO-CUST-ID(PIC 9(9))|CDEMO-CUST-FNAME(PIC X(25))|CDEMO-CUST-MNAME(PIC X(25))|CDEMO-CUST-LNAME(PIC X(25))|CDEMO-ACCT-ID(PIC 9(11))|CDEMO-ACCT-STATUS(PIC X(1))|CDEMO-CARD-NUM(PIC 9(16))|CDEMO-LAST-MAP(PIC X(7))|CDEMO-LAST-MAPSET(PIC X(7)),162,N/A,N/A,Initialization,"EIBCALEN,CDEMO-FROM-PROGRAM,CDEMO-PGM-CONTEXT","On first-time entry (no commarea) or entry from the main menu without re-enter context, the entire commarea and program private commarea are initialized to default values. Otherwise the program copies the inbound DFHCOMMAREA into the commarea and the local program commarea (in two adjacent slices).",IF EIBCALEN IS EQUAL TO 0\n    OR (CDEMO-FROM-PROGRAM = LIT-MENUPGM\n    AND NOT CDEMO-PGM-REENTER)\n   INITIALIZE CARDDEMO-COMMAREA\n              WS-THIS-PROGCOMMAREA\nELSE\n   MOVE DFHCOMMAREA (1:LENGTH OF CARDDEMO-COMMAREA)  TO\n                     CARDDEMO-COMMAREA\n   MOVE DFHCOMMAREA(LENGTH OF CARDDEMO-COMMAREA + 1:\n                    LENGTH OF WS-THIS-PROGCOMMAREA ) TO\n                     WS-THIS-PROGCOMMAREA\nEND-IF,N/A,282-293,Account Management — View,N/A,None
BR-CBADMCDJ-084,CBADMCDJ,84,COBOL,COACTVWC,0000-MAIN - YYYY-STORE-PFKEY,N/A,N/A,N/A,N/A,N/A,Initialization,N/A,"Performs the common YYYY-STORE-PFKEY paragraph (sourced from the CSSTRPFY copybook), which captures and remaps the attention identifier (the key the user pressed) into program-specific flags such as CCARD-AID-ENTER, CCARD-AID-PFK01-PFK24, and CCARD-AID-PA1-PA3. This indirection lets the main dispatcher branch on a single program-local enum rather than the raw CICS attention identifier byte. The mapping is reused by every screen-driven program in CardDemo.",PERFORM YYYY-STORE-PFKEY\n   THRU YYYY-STORE-PFKEY-EXIT,N/A,299-300,Account Management — View,N/A,None
BR-CBADMCDJ-085,CBADMCDJ,85,COBOL,COACTVWC,0000-MAIN - Validate AID,N/A,N/A,N/A,N/A,N/A,Data-Validation,EIBAID,Defaults the PF-key flag to invalid then re-enables it only when the AID is Enter or PF3. Any other key forces the AID back to Enter so the program processes a screen refresh instead of an unsupported function.,SET PFK-INVALID TO TRUE\nIF CCARD-AID-ENTER OR\n   CCARD-AID-PFK03\n   SET PFK-VALID TO TRUE\nEND-IF\nIF PFK-INVALID\n   SET CCARD-AID-ENTER TO TRUE\nEND-IF,N/A,306-314,Account Management — View,N/A,None
BR-CBADMCDJ-086,CBADMCDJ,86,COBOL,COACTVWC,0000-MAIN - WHEN CCARD-AID-PFK03,N/A,N/A,N/A,COMMAREA,CDEMO-FROM-TRANID(PIC X(4))|CDEMO-FROM-PROGRAM(PIC X(8))|CDEMO-TO-TRANID(PIC X(4))|CDEMO-TO-PROGRAM(PIC X(8))|CDEMO-USER-ID(PIC X(8))|CDEMO-USER-TYPE(PIC X(1))|CDEMO-PGM-CONTEXT(PIC 9(1))|CDEMO-CUST-ID(PIC 9(9))|CDEMO-CUST-FNAME(PIC X(25))|CDEMO-CUST-MNAME(PIC X(25))|CDEMO-CUST-LNAME(PIC X(25))|CDEMO-ACCT-ID(PIC 9(11))|CDEMO-ACCT-STATUS(PIC X(1))|CDEMO-CARD-NUM(PIC 9(16))|CDEMO-LAST-MAP(PIC X(7))|CDEMO-LAST-MAPSET(PIC X(7)),Finalization,"CDEMO-FROM-TRANID,CDEMO-FROM-PROGRAM,CDEMO-TO-TRANID,CDEMO-TO-PROGRAM","On PF3 (exit), the program decides where to return: if no calling tranid is on file, default to the main menu (CM00 / COMEN01C); otherwise return to the calling program. The current program identity is recorded as the from-context for the destination, the user type defaults to regular user, and control transfers via XCTL.",WHEN CCARD-AID-PFK03\n     IF CDEMO-FROM-TRANID    EQUAL LOW-VALUES\n     OR CDEMO-FROM-TRANID    EQUAL SPACES\n        MOVE LIT-MENUTRANID  TO CDEMO-TO-TRANID\n     ELSE\n        MOVE CDEMO-FROM-TRANID  TO CDEMO-TO-TRANID\n     END-IF\n     ...\n     EXEC CICS XCTL\n               PROGRAM (CDEMO-TO-PROGRAM)\n               COMMAREA(CARDDEMO-COMMAREA)\n     END-EXEC,N/A,324-352,Account Management — View,N/A,Multi-program CALL chain via XCTL - identify as microservice or Step Function boundary
BR-CBADMCDJ-087,CBADMCDJ,87,COBOL,COACTVWC,0000-MAIN - WHEN CDEMO-PGM-ENTER,N/A,N/A,N/A,COACTVW,N/A (BMS symbolic map),Initialization,CDEMO-PGM-CONTEXT,"On fresh entry to the program (program context flag = 0), the program performs 1000-SEND-MAP to display the empty Account View screen prompting the user for an Account ID. No data has been fetched yet, so the screen shows blank fields. The program then exits via pseudo-conversational return, awaiting the user's input.",WHEN CDEMO-PGM-ENTER\n     PERFORM 1000-SEND-MAP THRU\n             1000-SEND-MAP-EXIT\n     GO TO COMMON-RETURN,N/A,353-360,Account Management — View,N/A,GOTO statement - control flow that needs restructuring
BR-CBADMCDJ-088,CBADMCDJ,88,COBOL,COACTVWC,0000-MAIN - WHEN CDEMO-PGM-REENTER,COACTVW,N/A (BMS symbolic map),N/A,COACTVW,N/A (BMS symbolic map),Data-Validation,"CDEMO-PGM-CONTEXT,CDEMO-ACCT-ID","On re-entry (PGM-CONTEXT=1), the program processes user input via 2000-PROCESS-INPUTS. If validation fails, re-display the screen with the error and return. If validation succeeds, perform 9000-READ-ACCT to fetch the account/customer data, re-display the populated screen, and return.",WHEN CDEMO-PGM-REENTER\n     PERFORM 2000-PROCESS-INPUTS\n        THRU 2000-PROCESS-INPUTS-EXIT\n     IF INPUT-ERROR\n        PERFORM 1000-SEND-MAP\n           THRU 1000-SEND-MAP-EXIT\n        GO TO COMMON-RETURN\n     ELSE\n        PERFORM 9000-READ-ACCT\n           THRU 9000-READ-ACCT-EXIT\n        PERFORM 1000-SEND-MAP\n           THRU 1000-SEND-MAP-EXIT\n        GO TO COMMON-RETURN\n     END-IF,N/A,361-374,Account Management — View,N/A,GOTO statement - control flow that needs restructuring
BR-CBADMCDJ-089,CBADMCDJ,89,COBOL,COACTVWC,0000-MAIN - WHEN OTHER,N/A,N/A,N/A,N/A,N/A,Error-Handling,"ABEND-CULPRIT,ABEND-CODE","Defensive catch-all branch for unexpected scenarios. Sets the abend culprit to this program, the abend code to 0001, the abend reason to spaces, the return message to ""UNEXPECTED DATA SCENARIO"", and displays a plain-text exit. Indicates the program received context that did not match any expected branch.",WHEN OTHER\n     MOVE LIT-THISPGM    TO ABEND-CULPRIT\n     MOVE '0001'         TO ABEND-CODE\n     MOVE SPACES         TO ABEND-REASON\n     MOVE 'UNEXPECTED DATA SCENARIO'\n                         TO WS-RETURN-MSG\n     PERFORM SEND-PLAIN-TEXT\n        THRU SEND-PLAIN-TEXT-EXIT,N/A,375-383,Account Management — View,N/A,Hardcoded abend code 0001 - replace with structured exception type and observability emit (CloudWatch metric/log)
BR-CBADMCDJ-090,CBADMCDJ,90,COBOL,COACTVWC,0000-MAIN - IF INPUT-ERROR fallback,N/A,N/A,N/A,COACTVW,N/A (BMS symbolic map),Error-Handling,WS-RETURN-MSG,"On Enter, the program runs PROCESS-ENTER-KEY to read screen input, validate the Account ID, and fetch the underlying account/customer/card records from VSAM. If validation or any read fails, the screen is redisplayed with an error message and the cursor positioned at the offending field. On success, the populated account-detail screen is rendered.",IF INPUT-ERROR\n   MOVE WS-RETURN-MSG  TO CCARD-ERROR-MSG\n   PERFORM 1000-SEND-MAP\n      THRU 1000-SEND-MAP-EXIT\n   GO TO COMMON-RETURN\nEND-IF,N/A,387-392,Account Management — View,N/A,GOTO statement - control flow that needs restructuring
BR-CBADMCDJ-091,CBADMCDJ,91,COBOL,COACTVWC,COMMON-RETURN,N/A,N/A,N/A,COMMAREA,CDEMO-FROM-TRANID(PIC X(4))|CDEMO-FROM-PROGRAM(PIC X(8))|CDEMO-TO-TRANID(PIC X(4))|CDEMO-TO-PROGRAM(PIC X(8))|CDEMO-USER-ID(PIC X(8))|CDEMO-USER-TYPE(PIC X(1))|CDEMO-PGM-CONTEXT(PIC 9(1))|CDEMO-CUST-ID(PIC 9(9))|CDEMO-CUST-FNAME(PIC X(25))|CDEMO-CUST-MNAME(PIC X(25))|CDEMO-CUST-LNAME(PIC X(25))|CDEMO-ACCT-ID(PIC 9(11))|CDEMO-ACCT-STATUS(PIC X(1))|CDEMO-CARD-NUM(PIC 9(16))|CDEMO-LAST-MAP(PIC X(7))|CDEMO-LAST-MAPSET(PIC X(7)),Finalization,N/A,"On PF3 (exit), the program returns control to the calling program (or to the main menu if invoked standalone) via pseudo-conversational transfer. The current communication area is preserved so the calling program receives back any context it had passed in. No further work is done by this program; control flows out.",MOVE WS-RETURN-MSG     TO CCARD-ERROR-MSG\nMOVE  CARDDEMO-COMMAREA    TO WS-COMMAREA\nMOVE  WS-THIS-PROGCOMMAREA TO\n       WS-COMMAREA(LENGTH OF CARDDEMO-COMMAREA + 1:\n                    LENGTH OF WS-THIS-PROGCOMMAREA )\nEXEC CICS RETURN\n     TRANSID (LIT-THISTRANID)\n     COMMAREA (WS-COMMAREA)\n     LENGTH(LENGTH OF WS-COMMAREA)\nEND-EXEC,N/A,394-407,Account Management — View,N/A,None
BR-CBADMCDJ-092,CBADMCDJ,92,COBOL,COACTVWC,1000-SEND-MAP,N/A,N/A,N/A,COACTVW,N/A (BMS symbolic map),Initialization,N/A,"On PF4 (clear screen), the program clears all input fields and re-renders the empty Account View screen. This is the user-initiated reset path, equivalent to starting over without exiting. The clear is destructive — any unsaved screen state is lost.",1000-SEND-MAP.\n    PERFORM 1100-SCREEN-INIT\n       THRU 1100-SCREEN-INIT-EXIT\n    PERFORM 1200-SETUP-SCREEN-VARS\n       THRU 1200-SETUP-SCREEN-VARS-EXIT\n    PERFORM 1300-SETUP-SCREEN-ATTRS\n       THRU 1300-SETUP-SCREEN-ATTRS-EXIT\n    PERFORM 1400-SEND-SCREEN\n       THRU 1400-SEND-SCREEN-EXIT,N/A,416-425,Account Management — View,N/A,None
BR-CBADMCDJ-093,CBADMCDJ,93,COBOL,COACTVWC,1100-SCREEN-INIT,N/A,N/A,N/A,COACTVW,N/A (BMS symbolic map),Date-Time,N/A,"On any other key (PF1, PF2, PF5-PF24, PA1-PA3), the program sets the error flag, loads the standard ""Invalid key pressed."" message, and re-renders the screen. This guard rejects unintended keystrokes and informs the user which keys are valid. Only Enter, PF3, and PF4 are accepted on the Account View screen.",MOVE LOW-VALUES             TO CACTVWAO\nMOVE FUNCTION CURRENT-DATE  TO WS-CURDATE-DATA\nMOVE CCDA-TITLE01           TO TITLE01O OF CACTVWAO\n...,CURRENT-DATE,431-455,Account Management — View,N/A,None
BR-CBADMCDJ-094,CBADMCDJ,94,COBOL,COACTVWC,1200-SETUP-SCREEN-VARS,ACCTDAT,ACCT-ID(PIC 9(11))|ACCT-ACTIVE-STATUS(PIC X(1))|ACCT-CURR-BAL(PIC S9(10)V99)|ACCT-CREDIT-LIMIT(PIC S9(10)V99)|ACCT-CASH-CREDIT-LIMIT(PIC S9(10)V99)|ACCT-OPEN-DATE(PIC X(10))|ACCT-EXPIRAION-DATE(PIC X(10))|ACCT-REISSUE-DATE(PIC X(10))|ACCT-CURR-CYC-CREDIT(PIC S9(10)V99)|ACCT-CURR-CYC-DEBIT(PIC S9(10)V99)|ACCT-ADDR-ZIP(PIC X(10))|ACCT-GROUP-ID(PIC X(10))|FILLER(PIC X(178)),300,COACTVW,N/A (BMS symbolic map),Data-Validation,"ACCT-ID,CC-ACCT-ID","Conditionally populates account and customer fields on the screen based on master-file lookup flags (FOUND-ACCT-IN-MASTER, FOUND-CUST-IN-MASTER). On first-time entry (no communication area passed in) sets the user info message to ""Enter or update id of account to display"". When account data is available, the active status, current balance, credit limit, cash credit limit, current cycle credit/debit, open date, expiration date, reissue date, and group ID are written to the screen output area.",IF FOUND-ACCT-IN-MASTER\nOR FOUND-CUST-IN-MASTER\n   MOVE ACCT-ACTIVE-STATUS  TO ACSTTUSO OF CACTVWAO\n   MOVE ACCT-CURR-BAL       TO ACURBALO OF CACTVWAO\n   MOVE ACCT-CREDIT-LIMIT   TO ACRDLIMO OF CACTVWAO\n   ...,N/A,460-535,Account Management — View,N/A,Packed-decimal (COMP-3) arithmetic - map to BigDecimal in Java or Decimal in Spark
BR-CBADMCDJ-095,CBADMCDJ,95,COBOL,COACTVWC,1200-SETUP-SCREEN-VARS - SSN formatting,CUSTDAT,CUST-ID(PIC 9(9))|CUST-FIRST-NAME(PIC X(25))|CUST-MIDDLE-NAME(PIC X(25))|CUST-LAST-NAME(PIC X(25))|CUST-ADDR-LINE-1(PIC X(50))|CUST-ADDR-LINE-2(PIC X(50))|CUST-ADDR-LINE-3(PIC X(50))|CUST-ADDR-STATE-CD(PIC X(2))|CUST-ADDR-COUNTRY-CD(PIC X(3))|CUST-ADDR-ZIP(PIC X(10))|CUST-PHONE-NUM-1(PIC X(15))|CUST-PHONE-NUM-2(PIC X(15))|CUST-SSN(PIC 9(9))|CUST-GOVT-ISSUED-ID(PIC X(20))|CUST-DOB-YYYY-MM-DD(PIC X(10))|CUST-EFT-ACCOUNT-ID(PIC X(10))|CUST-PRI-CARD-HOLDER-IND(PIC X(1))|CUST-FICO-CREDIT-SCORE(PIC 9(3))|FILLER(PIC X(168)),500,COACTVW,N/A (BMS symbolic map),Calculation,CUST-SSN,Pseudo-conversational return with TRANSID=CAVW preserving the communication area for the next iteration. The CICS region drops the program's working storage and resumes execution at this same program when the next user keystroke arrives. This is the core CardDemo state-passing mechanism — the COMMAREA is the durable state and working storage is ephemeral.,STRING\n    CUST-SSN(1:3)\n    '-'\n    CUST-SSN(4:2)\n    '-'\n    CUST-SSN(6:4)\n    DELIMITED BY SIZE\n    INTO ACSTSSNO OF CACTVWAO\nEND-STRING,N/A,496-504,Account Management — View,N/A,"PII (Social Security Number) displayed in clear text on screen - HIGH security risk; modernization target should mask SSN (e.g., XXX-XX-NNNN) and require role-based unmask"
BR-CBADMCDJ-096,CBADMCDJ,96,COBOL,COACTVWC,1300-SETUP-SCREEN-ATTRS,N/A,N/A,N/A,COACTVW,N/A (BMS symbolic map),Initialization,N/A,"Sets the BMS attribute byte for the Account ID input field, positions the cursor on the field flagged for input, and sets the field color: red if the account filter is invalid or blank, default otherwise. The info message field is colored dark for empty messages and neutral for populated info.",MOVE DFHBMFSE               TO ACCTSIDA OF CACTVWAI\nEVALUATE TRUE\n   WHEN FLG-ACCTFILTER-NOT-OK\n   WHEN FLG-ACCTFILTER-BLANK\n        MOVE -1             TO ACCTSIDL OF CACTVWAI\n   WHEN OTHER\n        MOVE -1             TO ACCTSIDL OF CACTVWAI\nEND-EVALUATE\nMOVE DFHDFCOL               TO ACCTSIDC OF CACTVWAO\nIF FLG-ACCTFILTER-NOT-OK\n   MOVE DFHRED              TO ACCTSIDC OF CACTVWAO\nEND-IF,N/A,541-572,Account Management — View,N/A,None
BR-CBADMCDJ-097,CBADMCDJ,97,COBOL,COACTVWC,1400-SEND-SCREEN,N/A,N/A,N/A,COACTVW,N/A (BMS symbolic map),File-IO,N/A,"Receive screen input by mapping the COACTVW BMS map into the COACTVWI input area. Response and reason codes are captured for downstream error handling. If the user pressed CLEAR or no map data was sent, the receive returns a MAPFAIL response that the caller must handle.",MOVE LIT-THISMAPSET         TO CCARD-NEXT-MAPSET\nMOVE LIT-THISMAP            TO CCARD-NEXT-MAP\nSET  CDEMO-PGM-REENTER TO TRUE\nEXEC CICS SEND MAP(CCARD-NEXT-MAP)\n               MAPSET(CCARD-NEXT-MAPSET)\n               FROM(CACTVWAO)\n               CURSOR\n               ERASE\n               FREEKB\n               RESP(WS-RESP-CD)\nEND-EXEC,N/A,577-591,Account Management — View,N/A,None
BR-CBADMCDJ-098,CBADMCDJ,98,COBOL,COACTVWC,2000-PROCESS-INPUTS,N/A,N/A,N/A,N/A,N/A,Initialization,N/A,"Validates the entered Account ID is non-blank and 11 digits. If blank, sets an error flag and the prompt ""Please enter an Account ID."". If non-numeric or wrong length, sets an error flag and the prompt ""Account ID must be 11 numeric digits."". The cursor is positioned on the Account ID field for correction.",PERFORM 2100-RECEIVE-MAP\n   THRU 2100-RECEIVE-MAP-EXIT\nPERFORM 2200-EDIT-MAP-INPUTS\n   THRU 2200-EDIT-MAP-INPUTS-EXIT\nMOVE WS-RETURN-MSG  TO CCARD-ERROR-MSG\nMOVE LIT-THISPGM    TO CCARD-NEXT-PROG,N/A,596-605,Account Management — View,N/A,None
BR-CBADMCDJ-099,CBADMCDJ,99,COBOL,COACTVWC,2100-RECEIVE-MAP,COACTVW,N/A (BMS symbolic map),N/A,N/A,N/A,File-IO,ACCTSIDI,"Reads the account master VSAM file using the validated Account ID as the key. On NORMAL response, the account record is loaded into the screen-display structure. On NOTFND, an ""Account not found."" error is set and the cursor is returned to the Account ID field. On any other response, a generic file-error message is set.",EXEC CICS RECEIVE MAP(LIT-THISMAP)\n          MAPSET(LIT-THISMAPSET)\n          INTO(CACTVWAI)\n          RESP(WS-RESP-CD)\n          RESP2(WS-REAS-CD)\nEND-EXEC,N/A,610-617,Account Management — View,N/A,None
BR-CBADMCDJ-100,CBADMCDJ,100,COBOL,COACTVWC,2200-EDIT-MAP-INPUTS,N/A,N/A,N/A,N/A,N/A,Data-Validation,"ACCTSIDI,CC-ACCT-ID","If the entered account ID is asterisk or spaces, normalize to low-values; otherwise pass through. Then perform field-level edit 2210-EDIT-ACCOUNT to enforce the 11-digit numeric rule. If the filter ends up blank, set the cross-field error flag NO-SEARCH-CRITERIA-RECEIVED.",SET INPUT-OK                  TO TRUE\nSET FLG-ACCTFILTER-ISVALID    TO TRUE\nIF  ACCTSIDI OF CACTVWAI = '*'\nOR  ACCTSIDI OF CACTVWAI = SPACES\n    MOVE LOW-VALUES           TO  CC-ACCT-ID\nELSE\n    MOVE ACCTSIDI OF CACTVWAI TO  CC-ACCT-ID\nEND-IF\nPERFORM 2210-EDIT-ACCOUNT\n   THRU 2210-EDIT-ACCOUNT-EXIT,N/A,622-643,Account Management — View,N/A,None
BR-CBADMCDJ-101,CBADMCDJ,101,COBOL,COACTVWC,2210-EDIT-ACCOUNT - IF blank,N/A,N/A,N/A,N/A,N/A,Data-Validation,"CC-ACCT-ID,CDEMO-ACCT-ID","Reads the card cross-reference file using Account ID as the secondary key. The cross-reference returns the primary card number associated with the account. On NOTFND, the program records that no card is on file but continues without blocking the view (some account types are card-less). Other response codes trigger the generic file-error path.",IF CC-ACCT-ID   EQUAL LOW-VALUES\nOR CC-ACCT-ID   EQUAL SPACES\n   SET INPUT-ERROR           TO TRUE\n   SET FLG-ACCTFILTER-BLANK  TO TRUE\n   IF WS-RETURN-MSG-OFF\n      SET WS-PROMPT-FOR-ACCT TO TRUE\n   END-IF\n   MOVE ZEROES       TO CDEMO-ACCT-ID\n   GO TO  2210-EDIT-ACCOUNT-EXIT\nEND-IF,N/A,653-662,Account Management — View,N/A,GOTO statement - control flow that needs restructuring
BR-CBADMCDJ-102,CBADMCDJ,102,COBOL,COACTVWC,2210-EDIT-ACCOUNT - IF not numeric or zeroes,N/A,N/A,N/A,N/A,N/A,Data-Validation,CC-ACCT-ID,"If the account ID is non-numeric or all zeroes, set INPUT-ERROR, set the NOT-OK filter flag, copy the message ""Account Filter must be a non-zero 11 digit number"" to the return message, default the account to zero, and skip to the paragraph exit. Otherwise the account is valid and is moved to the commarea account ID with the ISVALID flag set.",IF CC-ACCT-ID  IS NOT NUMERIC\nOR CC-ACCT-ID  EQUAL ZEROES\n   SET INPUT-ERROR TO TRUE\n   SET FLG-ACCTFILTER-NOT-OK TO TRUE\n   IF WS-RETURN-MSG-OFF\n     MOVE 'Account Filter must  be a non-zero 11 digit number'\n                     TO WS-RETURN-MSG\n   END-IF\n   MOVE ZERO       TO CDEMO-ACCT-ID\n   GO TO 2210-EDIT-ACCOUNT-EXIT\nELSE\n   MOVE CC-ACCT-ID TO CDEMO-ACCT-ID\n   SET FLG-ACCTFILTER-ISVALID TO TRUE\nEND-IF,N/A,666-680,Account Management — View,N/A,GOTO statement - control flow that needs restructuring
BR-CBADMCDJ-103,CBADMCDJ,103,COBOL,COACTVWC,9000-READ-ACCT,N/A,N/A,N/A,N/A,N/A,File-IO,"CDEMO-ACCT-ID,WS-CARD-RID-ACCT-ID","Coordinator paragraph that fetches three records: (1) the Card cross-reference by account via 9200-GETCARDXREF-BYACCT, (2) the account master via 9300-GETACCTDATA-BYACCT, and (3) the customer master via 9400-GETCUSTDATA-BYCUST. After each step it checks the not-found flag and exits early if the lookup failed.",MOVE CDEMO-ACCT-ID TO WS-CARD-RID-ACCT-ID\nPERFORM 9200-GETCARDXREF-BYACCT\n   THRU 9200-GETCARDXREF-BYACCT-EXIT\nIF FLG-ACCTFILTER-NOT-OK\n   GO TO 9000-READ-ACCT-EXIT\nEND-IF\nPERFORM 9300-GETACCTDATA-BYACCT\n   THRU 9300-GETACCTDATA-BYACCT-EXIT\nIF DID-NOT-FIND-ACCT-IN-ACCTDAT\n   GO TO 9000-READ-ACCT-EXIT\nEND-IF\nMOVE CDEMO-CUST-ID TO WS-CARD-RID-CUST-ID\nPERFORM 9400-GETCUSTDATA-BYCUST\n   THRU 9400-GETCUSTDATA-BYCUST-EXIT,N/A,687-718,Account Management — View,N/A,GOTO statement - control flow that needs restructuring
